Team,Pick Year,Via,Protection,Chips
ATL,2023,,,2
ATL,2024,,,2
ATL,2024,SAC,15-30,1
ATL,2025,SAC,13-30,0
ATL,2026,,Swap,2
ATL,2026,SAC,11-30,0
ATL,2028,,,2
ATL,2029,,,2
BOS,2023,,1-12,1
BOS,2024,,,2
BOS,2025,,,2
BOS,2026,,,2
BOS,2027,,,2
BOS,2028,,Swap,2
BOS,2029,,,2
BKN,2023,,Favorable,2
BKN,2025,,Swap,2
BKN,2025,,Favorable,2
BKN,2027,,Swap,2
BKN,2027,PHI,9-30,1
BKN,2028,,,2
BKN,2028,PHI,9-30,0
BKN,2029,,,2
CHA,2023,,1-16,1
CHA,2023,DEN,15-30,1
CHA,2024,,1-14,2
CHA,2024,DEN,15-30,0
CHA,2025,,1-14,2
CHA,2025,DEN,15-30,0
CHA,2026,,,2
CHA,2027,,,2
CHA,2028,,,2
CHA,2029,,,2
CHI,2023,,1-4,0
CHI,2023,POR,15-30,1
CHI,2024,,1-3,2
CHI,2024,POR,15-30,0
CHI,2025,,1-10,1
CHI,2025,POR,15-30,0
CHI,2026,,1-8,2
CHI,2026,POR,15-30,0
CHI,2027,,1-8,2
CHI,2027,POR,15-30,0
CHI,2028,,1-8,2
CHI,2028,POR,15-30,0
CHI,2029,,,2
CLE,2023,,1-14,1
CLE,2024,,,2
CLE,2026,,Swap,2
CLE,2028,,Swap,2
DAL,2023,,1-10,1
DAL,2024,,1-10,2
DAL,2025,,1-10,2
DAL,2026,,,2
DAL,2027,,,2
DAL,2028,,,2
DAL,2029,,,2
DEN,2023,,1-14,1
DEN,2024,,1-14,2
DEN,2025,,1-14,2
DEN,2026,,1-5,0
DEN,2027,,1-5,2
DEN,2028,,1-5,0
DEN,2029,,1-5,2
DET,2023,,1-18,1
DET,2024,,1-18,2
DET,2025,,1-13,2
DET,2026,,1-11,2
DET,2027,,1-9,2
DET,2028,,,2
DET,2029,,,2
GSW,2023,,,2
GSW,2024,,1-4,0
GSW,2025,,1,2
GSW,2026,,0,2
GSW,2027,,,2
GSW,2028,,,2
GSW,2029,,,2
HOU,2023,via BKN,Favorable,2
HOU,2023,via MIL,,2
HOU,2024,,1-4,0
HOU,2024,via BKN,,2
HOU,2025,via BKN,Favorable,2
HOU,2026,,1-4,2
HOU,2026,via BKN,,2
HOU,2027,,Swap,2
HOU,2028,,,2
HOU,2029,,,2
IND,2023,,,2
IND,2023,BOS,13-30,1
IND,2023,CLE,15-30,1
IND,2024,,,2
IND,2025,,,2
IND,2026,,,2
IND,2027,,,2
IND,2028,,,2
IND,2029,,,2
LAC,2023,,Swap,2
LAC,2025,,Swap,2
LAC,2027,,Swap,2
LAC,2028,,,2
LAC,2029,,,2
LAL,2023,,Swap,2
LAL,2024,,Swap,2
LAL,2025,,Swap,0
LAL,2026,,,2
LAL,2027,,,2
LAL,2028,,,2
LAL,2029,,,2
MEM,2023,,,2
MEM,2024,,,2
MEM,2024,GSW,5-30,2
MEM,2025,,,2
MEM,2025,GSW,2-30,0
MEM,2026,,,2
MEM,2026,GSW,,0
MEM,2028,,,2
MEM,2029,,,2
MIA,2023,,,2
MIA,2024,,,2
MIA,2025,,1-14,1
MIA,2026,,,2
MIA,2027,,,2
MIA,2028,,,2
MIA,2029,,,2
MIL,2024,,Swap,2
MIL,2026,,Swap,2
MIL,2028,,,2
MIL,2029,,,2
MIN,2024,,,2
MIN,2026,,Swap,2
MIN,2028,,,2
MIN,2029,,1-5,0
NOP,2023,,Swap,2
NOP,2024,,Swap,2
NOP,2024,LAL,Swap,2
NOP,2025,,,2
NOP,2025,LAL,Swap,0
NOP,2025,MIL,1-4,0
NOP,2026,,Swap,2
NOP,2027,,,2
NOP,2027,MIL,,2
NOP,2028,,,2
NOP,2029,,,2
NYK,2023,,,2
NYK,2023,DAL,11-30,1
NYK,2023,DET,19-30,1
NYK,2023,WAS,15-30,1
NYK,2024,,,2
NYK,2024,DAL,11-30,0
NYK,2024,DET,19-30,0
NYK,2024,WAS,13-30,0
NYK,2025,,,2
NYK,2025,DAL,11-30,0
NYK,2025,DET,14-30,0
NYK,2025,WAS,11-30,0
NYK,2025,MIL,5-30,2
NYK,2026,,,2
NYK,2026,DET,14-30,0
NYK,2026,WAS,11-30,0
NYK,2027,,,2
NYK,2027,DET,10-30,0
NYK,2028,,,2
NYK,2029,,,2
OKC,2023,,Swap,2
OKC,2024,HOU,5-30,2
OKC,2024,LAC,,2
OKC,2024,UTA,11-30,1
OKC,2025,,Swap,2
OKC,2025,,Favorable,2
OKC,2025,UTA,11-30,0
OKC,2025,PHI,7-30,1
OKC,2025,MIA,15-30,1
OKC,2026,,,2
OKC,2026,UTA,9-30,0
OKC,2026,MIA,,0
OKC,2026,PHI,5-30,0
OKC,2026,HOU,5-30,0
OKC,2026,LAC,,2
OKC,2027,,,2
OKC,2027,PHI,5-30,0
OKC,2027,DEN,6-30,1
OKC,2028,,,2
OKC,2028,DEN,6-30,0
OKC,2029,,,2
OKC,2029,DEN,6-30,0
ORL,2023,,,2
ORL,2023,CHI,5-30,2
ORL,2024,,,2
ORL,2024,CHI,5-30,0
ORL,2025,,,2
ORL,2025,DEN,6-30,2
ORL,2026,,,2
ORL,2026,DEN,6-30,0
ORL,2027,,,2
ORL,2027,DEN,6-30,0
ORL,2028,,,2
ORL,2029,,,2
PHI,2024,,,2
PHI,2025,,1-6,1
PHI,2026,,1-4,2
PHI,2027,,1-8,2
PHI,2028,,1-8,2
PHI,2029,,,2
PHX,2023,,,2
PHX,2024,,,2
PHX,2025,,,2
PHX,2026,,,2
PHX,2027,,,2
PHX,2028,,,2
PHX,2029,,,2
POR,2023,,1-14,1
POR,2024,,1-14,2
POR,2025,,1-14,2
POR,2026,,1-14,2
POR,2027,,1-14,2
POR,2028,,1-14,2
POR,2029,,,2
SAC,2023,,,2
SAC,2024,,1-14,1
SAC,2025,,1-12,2
SAC,2026,,1-10,2
SAC,2027,,,2
SAC,2028,,,2
SAC,2029,,,2
SAS,2023,,,2
SAS,2023,CHA,17-30,1
SAS,2024,,,2
SAS,2024,CHA,15-30,0
SAS,2025,,,2
SAS,2025,CHA,15-30,0
SAS,2025,ATL,,2
SAS,2025,CHI,11-30,1
SAS,2026,,Swap,2
SAS,2026,CHI,11-30,0
SAS,2027,,,2
SAS,2027,CHI,9-30,0
SAS,2027,ATL,,2
SAS,2028,,Swap,2
SAS,2028,CHI,9-30,0
SAS,2029,,,2
TOR,2023,,,2
TOR,2024,,,2
TOR,2025,,,2
TOR,2026,,,2
TOR,2027,,,2
TOR,2028,,,2
TOR,2029,,,2
UTA,2023,,,2
UTA,2023,MIN,,2
UTA,2023,,Favorable,2
UTA,2024,,1-10,1
UTA,2025,,1-10,2
UTA,2025,MIN,,2
UTA,2025,CLE,,2
UTA,2026,,1-10,2
UTA,2027,,,2
UTA,2027,MIN,,2
UTA,2027,CLE,,2
UTA,2028,,Swap,2
UTA,2029,,,2
UTA,2029,MIN,6-30,2
UTA,2029,CLE,,2
WAS,2023,,1-14,1
WAS,2024,,1-12,2
WAS,2025,,1-10,2
WAS,2026,,1-8,2
WAS,2027,,,2
WAS,2028,,,2
WAS,2029,,,2
